run_id,video,video_sha256,config_id,pts_ms,cls,confidence,x1,y1,x2,y2,area_px,width_px,height_px,aspect,abstained,abstain_reason,usable,seat_state,track_id,event_id,crop_id,crop_config,fallback_reason,crop_native_px,magnification,slice_index,merged_from,calibration_version,pose_source
corpus_01,01.Candidate was found using a mobile phone in the examination hall..mkv,b842b03e5784d867e93770560d88150a526250df69077cd3065edbbd4c842098,dfine_native,54140.0,unknown_object,0.3168,882.21,457.19,933.63,599.59,7321.2,51.41,142.4,0.361,False,,True,unattributed,1,evt_01-P02_desk_work_surface_0009,fc3f0b3b157f709b,native_source_context_fallback,wrist_confidence_below_floor,47546.7,2.47,,1,01/e1/v1,rtmpose_baseline
corpus_01,01.Candidate was found using a mobile phone in the examination hall..mkv,b842b03e5784d867e93770560d88150a526250df69077cd3065edbbd4c842098,dfine_native,54620.0,unknown_object,0.4336,142.56,544.38,269.45,669.45,15869.9,126.89,125.07,1.015,False,,True,unattributed,4,evt_01-P01_desk_work_surface_0001,235afe13070ce83d,native_source_context_fallback,wrist_confidence_below_floor,22781.4,3.68,,1,01/e1/v1,rtmpose_baseline
corpus_01,01.Candidate was found using a mobile phone in the examination hall..mkv,b842b03e5784d867e93770560d88150a526250df69077cd3065edbbd4c842098,dfine_native,54620.0,phone,0.291,226.28,544.14,269.91,606.59,2725.1,43.63,62.45,0.699,False,,True,unattributed,4,evt_01-P01_desk_work_surface_0001,235afe13070ce83d,native_source_context_fallback,wrist_confidence_below_floor,22781.4,3.68,,1,01/e1/v1,rtmpose_baseline
corpus_01,01.Candidate was found using a mobile phone in the examination hall..mkv,b842b03e5784d867e93770560d88150a526250df69077cd3065edbbd4c842098,dfine_native,54620.0,phone,0.2755,226.96,544.1,270.08,673.18,5565.3,43.11,129.08,0.334,False,,True,unattributed,4,evt_01-P01_desk_work_surface_0001,235afe13070ce83d,native_source_context_fallback,wrist_confidence_below_floor,22781.4,3.68,,1,01/e1/v1,rtmpose_baseline
corpus_01,01.Candidate was found using a mobile phone in the examination hall..mkv,b842b03e5784d867e93770560d88150a526250df69077cd3065edbbd4c842098,dfine_native,54620.0,monitor_or_bezel,0.8534,980.06,582.67,1080.12,713.12,13053.8,100.06,130.45,0.767,False,,True,unattributed,1,evt_01-P01_desk_work_surface_0001,25fa009d93035fc2,native_source_context_fallback,wrist_confidence_below_floor,51439.2,2.49,,1,01/e1/v1,rtmpose_baseline
corpus_01,01.Candidate was found using a mobile phone in the examination hall..mkv,b842b03e5784d867e93770560d88150a526250df69077cd3065edbbd4c842098,dfine_native,54620.0,phone,0.5719,1036.61,562.39,1080.25,588.84,1153.9,43.63,26.45,1.65,False,,True,unattributed,1,evt_01-P01_desk_work_surface_0001,25fa009d93035fc2,native_source_context_fallback,wrist_confidence_below_floor,51439.2,2.49,,1,01/e1/v1,rtmpose_baseline
corpus_01,01.Candidate was found using a mobile phone in the examination hall..mkv,b842b03e5784d867e93770560d88150a526250df69077cd3065edbbd4c842098,dfine_native,54620.0,unknown_object,0.3368,882.35,457.22,1003.93,604.17,17866.7,121.59,146.94,0.827,False,,True,unattributed,1,evt_01-P01_desk_work_surface_0001,25fa009d93035fc2,native_source_context_fallback,wrist_confidence_below_floor,51439.2,2.49,,1,01/e1/v1,rtmpose_baseline
corpus_01,01.Candidate was found using a mobile phone in the examination hall..mkv,b842b03e5784d867e93770560d88150a526250df69077cd3065edbbd4c842098,dfine_native,54620.0,unknown_object,0.4148,882.13,457.23,1031.02,605.8,22120.5,148.89,148.57,1.002,False,,True,unattributed,1,evt_01-P01_desk_work_surface_0001,25fa009d93035fc2,native_source_context_fallback,wrist_confidence_below_floor,51439.2,2.49,,1,01/e1/v1,rtmpose_baseline
corpus_01,01.Candidate was found using a mobile phone in the examination hall..mkv,b842b03e5784d867e93770560d88150a526250df69077cd3065edbbd4c842098,dfine_native,54620.0,unknown_object,0.2793,878.85,558.98,894.79,653.73,1510.0,15.94,94.74,0.168,False,,True,unattributed,1,evt_01-P01_desk_work_surface_0001,25fa009d93035fc2,native_source_context_fallback,wrist_confidence_below_floor,51439.2,2.49,,1,01/e1/v1,rtmpose_baseline
corpus_01,01.Candidate was found using a mobile phone in the examination hall..mkv,b842b03e5784d867e93770560d88150a526250df69077cd3065edbbd4c842098,dfine_native,54620.0,unknown_object,0.3606,882.38,457.22,937.25,601.16,7896.9,54.86,143.94,0.381,False,,True,unattributed,1,evt_01-P01_desk_work_surface_0001,25fa009d93035fc2,native_source_context_fallback,wrist_confidence_below_floor,51439.2,2.49,,1,01/e1/v1,rtmpose_baseline
corpus_01,01.Candidate was found using a mobile phone in the examination hall..mkv,b842b03e5784d867e93770560d88150a526250df69077cd3065edbbd4c842098,dfine_native,54620.0,unknown_object,0.3415,925.59,457.11,1031.31,514.7,6087.8,105.72,57.59,1.836,False,,True,unattributed,1,evt_01-P01_desk_work_surface_0001,25fa009d93035fc2,native_source_context_fallback,wrist_confidence_below_floor,51439.2,2.49,,1,01/e1/v1,rtmpose_baseline
corpus_01,01.Candidate was found using a mobile phone in the examination hall..mkv,b842b03e5784d867e93770560d88150a526250df69077cd3065edbbd4c842098,dfine_native,54620.0,unknown_object,0.262,922.27,457.27,1004.67,545.62,7279.4,82.39,88.35,0.933,False,,True,unattributed,1,evt_01-P01_desk_work_surface_0001,25fa009d93035fc2,native_source_context_fallback,wrist_confidence_below_floor,51439.2,2.49,,1,01/e1/v1,rtmpose_baseline
corpus_01,01.Candidate was found using a mobile phone in the examination hall..mkv,b842b03e5784d867e93770560d88150a526250df69077cd3065edbbd4c842098,dfine_native,54620.0,unknown_object,0.3727,925.76,457.14,1005.21,514.31,4542.6,79.45,57.17,1.39,False,,True,unattributed,1,evt_01-P01_desk_work_surface_0001,25fa009d93035fc2,native_source_context_fallback,wrist_confidence_below_floor,51439.2,2.49,,1,01/e1/v1,rtmpose_baseline
